Borítókép;Cím;Év;Játékidő [perc];Értékelés;Link
https://m.media-amazon.com/images/M/MV5BZjk5MGExMzQtN2ZmZC00NTkxLTkwMjYtMGNmOGJiMWI4YzM3XkEyXkFqcGdeQXVyMzM0MzYyMA@@._V1_QL75_UY148_CR3,0,100,148_.jpg;Berosált a rezesbanda;2013;52;2;https://www.youtube.com/watch?v=A9Pg0CeVbjQ&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=3&t=2295s
https://m.media-amazon.com/images/M/MV5BM2JkN2YwMTAtZWY2NS00NTRmLTkxNTMtYzhjZTM2YzQ2MDc1XkEyXkFqcGdeQXVyNzA1OTk3Mw@@._V1_QL75_UY148_CR61,0,100,148_.jpg;Hőskeresők;2013;56;3;https://www.youtube.com/watch?v=A9Pg0CeVbjQ&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=3&t=2746s
https://m.media-amazon.com/images/M/MV5BMjU1MjYzOTc4NF5BMl5BanBnXkFtZTgwMjEyNTA0MjE@._V1_QL75_UX100_CR0,0,100,148_.jpg;A nagy füzet;2013;109;6;https://www.youtube.com/watch?v=A9Pg0CeVbjQ&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=3&t=3045s
https://media.port.hu/images/001/372/400x400/200.jpg;Indián;2013;100;1;https://www.youtube.com/watch?v=A9Pg0CeVbjQ&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=3&t=3457s
https://m.media-amazon.com/images/M/MV5BZjQ0YTU3M2UtMjc0Ni00ZWJhLThkNzUtZWNlMWJjZTJjZWRjXkEyXkFqcGdeQXVyMTU1NTI2MA@@._V1_QL75_UY148_CR2,0,100,148_.jpg;Szabadság különjárat;2013;56;6;https://www.youtube.com/watch?v=A9Pg0CeVbjQ&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=3&t=3913s
https://m.media-amazon.com/images/M/MV5BZTdmNDA3ZjYtMGE2MS00OGZkLWE5YTEtOWU5OThjZjE2ZTc4XkEyXkFqcGdeQXVyNDgxMDU4NTU@._V1_QL75_UY148_CR2,0,100,148_.jpg;Isteni műszak;2013;100;7;https://www.youtube.com/watch?v=A9Pg0CeVbjQ&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=3&t=4122s
https://m.media-amazon.com/images/M/MV5BMTBiNzk3ZGYtNDc0Yy00MDY5LWEzNDktNDQ2ZmNjY2VkYTFhXkEyXkFqcGdeQXVyMTI0OTQ1Mzg5._V1_QL75_UX100_CR0,0,100,148_.jpg;Elkúrtuk;2021;125;3;https://youtu.be/1-C3RHbWwB0?si=I63a1lfaw75iMs1G
https://m.media-amazon.com/images/M/MV5BODgwNDMwNjE4NV5BMl5BanBnXkFtZTgwNTMwOTA4NDE@._V1_QL75_UY148_CR2,0,100,148_.jpg;Coming out;2013;96;6;https://www.youtube.com/watch?v=4pLHLL_0aNg&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=5&t=373s
https://m.media-amazon.com/images/M/MV5BMTQ3MTQ3OTM5MV5BMl5BanBnXkFtZTgwMDE3OTc0MzE@._V1_QL75_UY148_CR2,0,100,148_.jpg;Free entry;2014;70;4;https://www.youtube.com/watch?v=4pLHLL_0aNg&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=5&t=615s
https://m.media-amazon.com/images/M/MV5BMWMxODM1N2ItYTA4Ni00NzliLWI4NzctZmU0YWVlMzQwY2E2XkEyXkFqcGdeQXVyMTU1NTI2MA@@._V1_QL75_UY148_CR2,0,100,148_.jpg;Megdönteni Hajnal Tímeát;2014;105;4;https://www.youtube.com/watch?v=4pLHLL_0aNg&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=5&t=784s
https://m.media-amazon.com/images/M/MV5BMjMyNTQ4NTIxMF5BMl5BanBnXkFtZTgwMjc3NzU4MzE@._V1_QL75_UY148_CR6,0,100,148_.jpg;Aura;2014;80;1;https://www.youtube.com/watch?v=4pLHLL_0aNg&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=5&t=1059s
